"nama","kategori_usaha","kategori_grup","kecamatan","alamat","rating","rating_kategori","jumlah_ulasan","popularitas","skor_potensi","label_kelayakan","latitude","longitude","telepon","website","foto_url","keyword","tanggal"
"Sinta Ramli, SH., M.KN","Notaris","Jasa Umum","Mariso","Jl. Sungai Saddang Lama No.41A, Maradekaya Sel., Kec. Makassar, Kota Makassar, Sulawesi Selatan 90143",4.3,"Baik",6,"Baru",60.8,"Layak",-5.1464729,119.4236408,"(0411) 3629595",NA,"https://lh5.googleusercontent.com/proxy/XI4BOd7lAshMACGRn9Rzc5S82c1ExC2NdRySbfvoUfJznDLjTn8JXxtiGPjtTJE3eaYS22xDHAKaMCns2xsPw5TrVRwS9168vXDDLFeL__igcjkQy3NOcHINOHzHAVNK7eCQYEaBzWPpimmN6SK_rxqp-ohktMJ7IBXMk-dP-ill=w800-h600-k-no","notaris Mariso Makassar","2026-05-05"
"Cuci Motor dan Mobil Fiqram","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. Abd. Kadir No.4, Balang Baru, Kec. Tamalate, Kota Makassar, Sulawesi Selatan 90224",3.8,"Cukup",14,"Baru",57.7,"Layak",-5.180113,119.4163508,"0821-8774-1386",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAG0eL_D04x_xgZvT0gXuC1NcxE0UJfnm264EZWaR96abenzZS7TVSg-9gAUdzOzEjcHpusYCVwAeeveUEixEU1GA3Pu7NDbgzyBEu78nkOTgZ-9lE2B7FsVtsOLa1UaqekPGNrt=w800-h600-k-no","cuci motor Mariso Makassar","2026-05-05"
"Kakatua taylor","Penjahit","Jasa Umum","Mariso","Jl. Pajonga Dg. Ngalle No.50, Mariso, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90122",4,"Baik",8,"Baru",57.7,"Layak",-5.160988,119.4123752,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFt3FJGLAqcbpZHH8tmjtqVRAthfPAzpv_TDD-M4tdup_iy26Z0J6FVQ-oIz9J_Bg5NSqY7Vw_A6sEaq3QuCvkQMX52KrsRMxpKpOYPS5ESkVOKC5wotLscfquCGNZcMVu01kY=w800-h600-k-no","jasa jahit Mariso Makassar","2026-05-05"
"Bengkel Cuci Motor Mandiri","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. Rajawali No.6, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90113",4.3,"Baik",3,"Baru",57.5,"Layak",-5.1567356,119.4105057,NA,NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFB8dADwpGub6RNVAZGwGtKV65soWfUyM9-MwF1UBscyGrlHoUPhcZK9xWmhUBh4-TPPLC63r0QrVc4ghKfZNfj_2tG_iXCsBSaKZI_nwWK0OH4cJc969RnCcs4dCjMWaMkPLllfw=w800-h600-k-no","cuci motor Mariso Makassar","2026-05-05"
"Notaris Dan P.P.A.T LIEKE TUNGGAL,S.H.","Notaris","Jasa Umum","Mariso","Jl. A. Mappanyukki No.24, Kunjung Mae, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125",4.3,"Baik",3,"Baru",57.5,"Layak",-5.1499115,119.4144218,"(0411) 878889",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHcS1zKlc3u1ZCCLZ0uj2jyT3GerWyyQLIKDA4_jdeeUJBTTReYt3xsC6tMJGP4cCcHVa2_0ZNfRUiAz-ePYjT2Tdi3sCMcCvugkzpvWLF54_l5ScDPCnwBcq3V2WZM0xEio1o=w800-h600-k-no","notaris Mariso Makassar","2026-05-05"
"Rumah Jahit Nanda","Penjahit","Jasa Umum","Mariso","Jl. Rajawali II No.08, Panambungan, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90123",4,"Baik",7,"Baru",57,"Layak",-5.1567829,119.4104193,"0852-4062-3779",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAHOf9lL0PB2NOpSh0ORMZ-CjxeNaLuJfQHIcD9WWFGf6xnW4AyiE_swTun2gHk0kUzhPn5R7_kdtTTMVqgJAzYGmC9g5oBAi2L81DvZiNNKphkFgkv3SXsMSx2xyFFHBnOvkYw6=w800-h600-k-no","jasa jahit Mariso Makassar","2026-05-05"
"Penjahit Sukses","Tukang Jahit","Jasa Umum","Mariso","Jalan Onta Lama, No. 19, Kelurahan Mamajang Dalam Kecamatan Mamajang, Mamajang Luar, Kec. Mamajang, Kota Makassar, Sulawesi Selatan 90135",3.8,"Cukup",10,"Baru",55.9,"Layak",NA,NA,"0852-1348-5002",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAGP8pnUKqsP3oAaAQgTLK9y-b3tWSQ0Grn4Djc8bdvC68-fiMVbaH1SZLY0yA2zx8GzYACThIKn5gfpe2uxpW5YB0AWAx0nDoXGrXLHOzpJM1FABIXnTawkD1smc6uUNwH-77QnbQ=w800-h600-k-no","jasa jahit Mariso Makassar","2026-05-05"
"Cuci Mobil Risma","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. Cendrawasih 4 No.139-122, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125",4.7,"Sangat Baik",0,"Tidak Ada Ulasan",55.5,"Layak",-5.1804461,119.4163022,"0853-9553-7878",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHJCGDuyGjYk169XK3Mn8zi5f6Aeeot6LGRtyu55Ja0u5_GraQsIgMxmcdi1pb_NUR-VNB3H0UDmc8lQcPcqnBXK7BUZeHQdcidczFshji7b8mIaBlWeq94gElYW97bNcGVbJI=w800-h600-k-no","cuci mobil Mariso Makassar","2026-05-05"
"Cuci mobil dan motor","Tempat Pencucian Mobil","Jasa Umum","Mariso","Jl. Cendrawasih 4 No.139-122, Mario, Kec. Mariso, Kota Makassar, Sulawesi Selatan 90125",4.7,"Sangat Baik",0,"Tidak Ada Ulasan",55.5,"Layak",NA,NA,"0853-9553-7878",NA,"https://lh3.googleusercontent.com/gps-cs-s/APNQkAFHJCGDuyGjYk169XK3Mn8zi5f6Aeeot6LGRtyu55Ja0u5_GraQsIgMxmcdi1pb_NUR-VNB3H0UDmc8lQcPcqnBXK7BUZeHQdcidczFshji7b8mIaBlWeq94gElYW97bNcGVbJI=w800-h600-k-no","cuci motor Mariso Makassar","2026-05-05"
"J&T Cargo Makassar UPG060A","Jasa Pengiriman Kargo","Jasa Umum","Mariso","Kompleks Dahlia, Jl. Pengayoman Blk. I No.3, Masale, Kec. Panakkukang, Kota Makassar, Sulawesi Selatan 90231",4.7,"Sangat Baik",0,"Tidak Ada Ulasan",55.5,"Layak",-5.1599651,119.4465201,"0812-4122-345","wa.me",NA,"ekspedisi pengiriman Mariso Makassar","2026-05-05"
